Design,n,d,s,MC_Successes,H2_Upper/Exact_Median,H2_Upper/Exact_Min,H2_Upper/Exact_Max,H2_Upper/Lower_Median,H2_Upper/Lower_Min,H2_Upper/Lower_Max,H1_Upper/Exact_Median,H1_Upper/Exact_Min,H1_Upper/Exact_Max,Hinf_Upper/Exact_Median,Hinf_Upper/Exact_Min,Hinf_Upper/Exact_Max
Spiked_rho0.5,100,500,40,30,1.0045599109135122,1.0012720073352885,1.012742491156433,1.0379171536559808,1.032450273708141,1.0520015644284118,1.0015890309636843,0.9999999999999981,1.0158252801638168,0.9999999999999998,0.9999999999999974,1.0000000000000016
Spiked_rho0.8,100,500,40,30,1.0186000468070722,1.0040184707816562,1.0576110944726858,1.159210658856989,1.0976304446931424,1.2244713685867754,1.0093590625238655,0.999999999999995,1.032988295006035,0.9999999999999999,0.9999999999999942,1.000000000000005
Gaussian,100,1000,5,30,1.0000540066340053,1.0000417428098698,1.0001360368740642,1.0368419023834914,1.0296653868875802,1.041538218606336,1.0001328637262161,0.9999999999999998,1.0004691908275398,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,100,1000,5,30,1.0002164781813498,1.000155515629622,1.0004590026951896,1.003623538295684,1.0031049320457743,1.0042438881064106,1.0001607817528066,0.9999999999999998,1.0008274984400742,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,100,1000,5,30,1.0011712644927309,1.0006953227420092,1.0026037404249954,1.0038628594900645,1.003150635619394,1.0053211690236024,1.0004492354621068,0.9999999999999978,1.0019006289191053,1.0,0.9999999999999993,1.0000000000000009
Gaussian,100,1000,10,30,1.0000660910776427,1.0000469067837507,1.0001377803866565,1.0276803672238988,1.0234948406535427,1.0328278608207873,1.0001635690022366,0.9999999999999998,1.0007666517483373,1.0,0.9999999999999999,1.0000000000000002
Spiked_rho0.5,100,1000,10,30,1.0006167200812417,1.0004069290564177,1.0015676991605866,1.0060511689673526,1.0053930261111823,1.0067193083261836,1.0005199733827403,0.9999999999999993,1.0017970885725476,1.0,0.9999999999999996,1.0000000000000002
Spiked_rho0.8,100,1000,10,30,1.0039883577041808,1.0025510846824095,1.007398042475285,1.0089528234102705,1.0071684437590378,1.012676726441974,1.00155964308928,0.9999999999999976,1.004969450688543,0.9999999999999998,0.9999999999999991,1.000000000000001
Gaussian,100,1000,20,30,1.0000842094621443,1.000053070607443,1.0001820134718356,1.0197046821098508,1.0151237702797873,1.024329926389943,1.0000969169549636,0.9999999999999994,1.0013804574988137,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.5,100,1000,20,30,1.0021458180984422,1.0012909671690773,1.0039205671997844,1.0108449153465981,1.008487860198808,1.0135135048559847,1.0014368315810027,0.9999999999999996,1.0046427484336224,1.0,0.9999999999999994,1.0000000000000007
Spiked_rho0.8,100,1000,20,30,1.0122679450359997,1.008293728710621,1.0234996337167959,1.0222986918538943,1.0175929189881567,1.0342702838908453,1.0035885180741198,0.9999999999999978,1.0083601457113853,1.0,0.9999999999999983,1.0000000000000022
